pregunta;opcion_a;opcion_b;opcion_c;opcion_d;correcta
De acuerdo con el modelo establecido en la Ley 14/1986, la financiación del Sistema Nacional de Salud se basa prioritariamente en:;El copago directo por acto médico prestado.;Recursos procedentes de la tributación general (Presupuestos de las Administraciones Públicas).;Las aportaciones de las mutuas de accidentes de trabajo exclusivamente.;Los fondos estructurales de cohesión de la Unión Europea.;b
En relación con las actuaciones en materia de salud mental contempladas en la Ley de Salud de Andalucía, la red de atención pública promoverá fundamentalmente:;La construcción de grandes hospitales psiquiátricos de ámbito provincial.;La externalización total de los tratamientos a organizaciones no gubernamentales.;La atención comunitaria y la integración social del paciente.;El internamiento prolongado como medida terapéutica prioritaria frente a la consulta ambulatoria.;c
Los Consejos de Salud de Área, tal y como se diseñan en la legislación sanitaria, son fundamentalmente órganos de:;Dirección y gestión económica exclusiva.;Participación comunitaria y asesoramiento.;Inspección sancionadora de centros privados.;Representación sindical del personal estatutario.;b
En el ámbito de la gestión del Servicio Andaluz de Salud, el Contrato Programa establece, entre otros elementos operativos:;Las sanciones disciplinarias de todo el personal de la sanidad.;Los estatutos internos del Colegio Oficial de Médicos.;Los presupuestos, la cartera de servicios, los objetivos de la organización y los indicadores de evaluación.;La legislación estatal en materia de sanidad y consumo.;c
El artículo 21 de la Ley General de Sanidad, respecto a la salud laboral, determina que las acciones de salud estarán destinadas a:;Eximir al empleador de la responsabilidad civil derivada de accidentes.;Promover de forma exclusiva la jubilación anticipada de trabajadores enfermos.;Promover la salud integral del trabajador y prevenir los riesgos derivados de las condiciones de trabajo.;Gestionar el pago de incapacidades temporales por parte del Instituto Nacional de la Seguridad Social.;c
Según la Ley de Salud de Andalucía, ¿qué derechos asisten a los extranjeros no residentes respecto a la asistencia sanitaria en el territorio autonómico?;No tienen derecho a ninguna asistencia gratuita salvo si tienen tarjeta de crédito europea.;Tienen derecho a recibir asistencia en las mismas condiciones que los ciudadanos españoles residentes en todos los casos.;Se les garantiza la asistencia sanitaria en situaciones de urgencia y emergencia de forma obligatoria.;Serán atendidos exclusivamente si pertenecen a un estado miembro de la Unión Europea.;c
En base a los preceptos de la Ley General de Sanidad y legislación concordante, la valoración, autorización y registro de los medicamentos de uso humano corresponde a:;El Servicio Andaluz de Salud para el territorio andaluz.;La Administración del Estado.;El Consejo Interterritorial del SNS por mayoría simple.;Las Diputaciones Provinciales donde resida el laboratorio fabricante.;b
La Ley 2/1998 otorga especial relevancia a la Promoción de la Salud. Esta se enfoca hacia:;La restricción del uso de los servicios sanitarios por los usuarios sanos.;La imposición de rutinas deportivas obligatorias en centros de trabajo públicos.;El fomento de conocimientos, hábitos y estilos de vida saludables en la población.;La emisión de campañas publicitarias exclusivas para los hospitales de la red privada.;c
¿A quién compete la alta inspección y evaluación de los centros y servicios del SSPA, según la Ley de Salud de Andalucía, sin perjuicio de las competencias estatales?;A la Inspección de Trabajo y Seguridad Social.;Al Instituto Nacional de la Seguridad Social.;A la Consejería con competencias en materia de salud.;A las Unidades de Prevención de Riesgos Laborales de los hospitales.;c
Según la Ley 2/1998, cuando exista o se sospeche razonablemente la existencia de un riesgo inminente y extraordinario para la salud, la Administración sanitaria puede:;Ordenar el cierre preventivo de instalaciones o la inmovilización de productos.;Declarar automáticamente el estado de alarma sanitaria en toda la provincia.;Dictar sentencia condenatoria contra los responsables de manera inmediata.;Sancionar directamente sin necesidad de instruir un expediente previo.;a
El Decreto 197/2007 establece que la base de la atención primaria la constituye un conjunto de profesionales sanitarios y no sanitarios con responsabilidad en la prestación de atención de salud continuada y comunitaria. ¿Cómo se denomina este conjunto?;Consejo de Dirección de Distrito.;Equipo de Atención Primaria.;Unidad Hospitalaria Básica.;Comisión de Docencia de Zona.;b
¿Qué organismo se configura como órgano superior colegiado de participación ciudadana en el Sistema Sanitario Público de Andalucía?;El Comité Técnico de Inspección Sanitaria.;La Junta Facultativa del SAS.;El Consejo Andaluz de Salud.;El Tribunal de Garantías Asistenciales.;c
La provisión de los medios de financiación del Sistema Sanitario Público de Andalucía provienen prioritariamente de:;Las donaciones de fundaciones privadas.;Las cuotas directas cobradas a los usuarios que requieran especialidades médicas.;Los rendimientos de los fondos de inversión del Banco de España.;Los recursos que le sean asignados con cargo a los Presupuestos de la Comunidad Autónoma.;d
Respecto a las innovaciones genéticas, la Ley de Salud de Andalucía garantiza el derecho a la confidencialidad de la información relativa al:;Patrimonio inmobiliario del usuario.;Historial crediticio y estado civil.;Patrimonio genético.;Registro de antecedentes penales familiares.;c
¿A quién atribuye la Ley de Salud de Andalucía la competencia para definir la política de salud de la Junta de Andalucía?;Al Servicio Andaluz de Salud directamente.;Al Parlamento de Andalucía de manera exclusiva.;Al Consejo de Gobierno de la Junta de Andalucía.;A la Consejería competente en materia de salud.;c
Dentro de los objetivos evaluados en el Contrato Programa del SAS, ¿qué dimensión miden los indicadores referidos al número de días de demora para una intervención quirúrgica?;La eficiencia en compras y logística.;La accesibilidad a los servicios sanitarios.;La satisfacción profesional y clima laboral.;La investigación biomédica y la docencia.;b
Para hacer efectivo el principio de equidad, la Ley de Salud de Andalucía prevé la garantía de plazos máximos de respuesta. ¿Qué sucede si el SSPA incumple este plazo para una intervención quirúrgica garantizada?;El paciente es indemnizado automáticamente con 3.000 euros.;El profesional responsable es suspendido de empleo y sueldo.;El ciudadano puede requerir el tratamiento en un centro privado con cargo a la Administración pública.;El plazo se prorroga automáticamente por igual periodo de tiempo sin compensación alguna.;c
En materia de deberes, el artículo 11 de la Ley 2/1998 establece que el ciudadano tiene la obligación de responsabilizarse de:;El cuidado de su propia salud de forma activa.;El coste económico de los medicamentos recetados a terceras personas.;El mantenimiento técnico de la electromedicina de su centro de salud.;La gestión de la lista de espera quirúrgica de su área hospitalaria.;a
El Consejo Interterritorial del SNS, creado por la Ley 14/1986 y modificado por normativas posteriores, está presidido por:;El Rey de España.;El Presidente del Gobierno.;El Ministro competente en materia de sanidad.;El Consejero de Salud de la Comunidad Autónoma de mayor población.;c
Las Unidades de Gestión Clínica (UGC) en el ámbito del SSPA representan una estrategia organizativa que persigue principalmente:;La centralización absoluta del gasto en gerencia.;Aislar a los facultativos de los profesionales de enfermería en la toma de decisiones.;Implicar a los profesionales en la gestión de los recursos y mejorar la continuidad asistencial.;Externalizar la responsabilidad patrimonial del Servicio Andaluz de Salud.;c
Según la Ley de Salud de Andalucía, la política de investigación sanitaria tiene como finalidad esencial:;El beneficio económico de las universidades andaluzas.;Contribuir a la promoción y mejora de la salud de los ciudadanos y a la prevención de la enfermedad.;Excluir a la iniciativa privada de cualquier ensayo clínico.;Fomentar el turismo sanitario en la comunidad autónoma.;b
Según las prescripciones de la Ley General de Sanidad sobre productos farmacéuticos, las oficinas de farmacia abiertas al público tendrán la consideración de:;Establecimientos sanitarios dependientes jerárquicamente del Centro de Salud.;Establecimientos sanitarios sujetos a la planificación sanitaria.;Establecimientos comerciales libres sin regulación específica sanitaria.;Extensiones administrativas del Instituto Nacional de la Seguridad Social.;b
¿Qué carácter tiene el Consejo Andaluz de Salud dentro del organigrama de la Junta de Andalucía?;Es el órgano directivo unipersonal del Sistema Sanitario Público.;Es un órgano de participación comunitaria, colegiado y de carácter consultivo.;Es una empresa pública con personalidad jurídica propia y patrimonio independiente.;Es una agencia administrativa encargada de contratar personal interino.;b
Durante la instrucción de un expediente sancionador por infracción a la Ley de Salud de Andalucía, el órgano competente puede adoptar medidas provisionales. Una de estas medidas es:;El ingreso forzoso del infractor en prisión preventiva.;La expropiación forzosa de los bienes inmuebles de la empresa.;La suspensión temporal de licencias o cierre preventivo de instalaciones.;La privación automática del derecho a la asistencia sanitaria del gerente infractor.;c
El derecho a negarse al tratamiento, consagrado como principio en la Ley 14/1986 y regulado en normativas de autonomía del paciente, tiene como excepción fundamental:;Cuando el paciente tenga más de 65 años y pluripatologías.;Cuando la falta de tratamiento suponga un riesgo para la salud pública.;Cuando el médico estime que el tratamiento es altamente recomendable pero sin riesgo vital inminente ni riesgo a terceros.;Cuando la familia lo exija contraviniendo la voluntad del paciente capaz.;b
En la organización de la asistencia especializada del SSPA, ¿cómo se denominan las estructuras territoriales que asumen la atención hospitalaria y extrahospitalaria de dicha especialidad?;Distritos de Especialidades.;Áreas Hospitalarias.;Zonas de Alta Resolución.;Comarcas Sanitarias Especializadas.;b
¿Quién debe suministrar la información epidemiológica necesaria al Sistema Sanitario Público de Andalucía para el conocimiento de los problemas de salud en la Comunidad?;Exclusivamente los centros dependientes del SAS.;Solo los hospitales públicos y privados concertados.;Todos los centros, servicios y establecimientos sanitarios, públicos y privados, de Andalucía.;Unicamente los ayuntamientos de municipios de más de 20.000 habitantes.;c
El Contrato Programa, como herramienta de planificación de la Junta de Andalucía, se negocia a nivel de hospital o distrito y posteriormente se "despliega" hacia los profesionales mediante:;Las órdenes de paralización de actividad.;Los Acuerdos de Gestión Clínica con las UGC.;Los contratos eventuales de bolsa.;Las leyes de presupuestos anuales publicadas en BOJA.;b
Las prestaciones sanitarias del Sistema Sanitario Público de Andalucía serán:;Menores a las del Sistema Nacional de Salud por falta de presupuesto.;Obligatoriamente superiores a las del Sistema Nacional de Salud en al menos un 10 por 100.;Idénticas a las de los seguros privados de salud autorizados en España.;Como mínimo, las establecidas en cada momento para el Sistema Nacional de Salud.;d
La delimitación territorial de las Áreas de Salud, de acuerdo con la Ley General de Sanidad, se realiza atendiendo fundamentalmente a:;Únicamente el número de hospitales terciarios disponibles en la provincia.;Criterios demográficos, geográficos, socioeconómicos, laborales, culturales y de vías de comunicación.;La voluntad de los Alcaldes expresada en pleno municipal.;Las cuotas de afiliación de los sindicatos mayoritarios del sector salud.;b
Respecto a la donación y trasplante de órganos, el Sistema Sanitario Público de Andalucía tiene entre sus competencias:;Prohibir la donación en centros de naturaleza no lucrativa.;Promover la concienciación social, así como la infraestructura y coordinación necesaria.;Vender los órganos excedentes a sistemas sanitarios de otros países europeos.;Limitar los trasplantes a pacientes con un nivel de renta determinado.;b
Para el correcto ejercicio de los derechos reconocidos en la Ley de Salud de Andalucía, la Administración sanitaria andaluza establecerá:;Vías de reclamación únicamente a través de procesos judiciales ordinarios.;Un sistema de garantía de calidad y de información para que el ciudadano conozca los centros y servicios disponibles.;Un mecanismo por el que el paciente ceda todos sus derechos al ingresar en el hospital.;Comisiones vecinales obligatorias para aprobar cualquier acto médico.;b
¿De qué manera contempla la Ley General de Sanidad la financiación de las necesidades del Sistema Nacional de Salud?;A través del abono de primas anuales obligatorias por parte de cada familia directamente al hospital.;Mediante una partida consignada en los Presupuestos Generales del Estado y de las Comunidades Autónomas.;A cargo de donaciones benéficas exclusivas de fundaciones estatales.;Mediante la instauración de un seguro privado obligatorio y complementario.;b
Las Unidades de Prevención de Riesgos Laborales en el ámbito del SSPA, de acuerdo con la legislación sanitaria y laboral, buscan garantizar:;La subcontratación total de la atención sanitaria urgente de los trabajadores.;El despido procedente de los trabajadores que sufran un accidente in itinere.;La protección de la seguridad y salud de los profesionales del sistema sanitario público.;La reducción de las nóminas por horas no trabajadas debido a enfermedades comunes.;c
El derecho a la información sobre los servicios sanitarios a los que se puede acceder incluye el derecho del paciente a:;Que se le oculten los diagnósticos graves si la familia lo solicita por escrito, como norma general y obligatoria.;Recibir información en lenguaje técnico, comprensible solo para otros profesionales.;Conocer en todo momento la identidad del facultativo que le atiende, que será su interlocutor principal.;Que el médico asuma todas las decisiones de forma paternalista sin informar de las alternativas.;c
