pregunta;opcion_a;opcion_b;opcion_c;opcion_d;correcta
La Ley General de Sanidad, en su artículo 11, contempla que serán obligaciones de los ciudadanos con las instituciones y organismos del sistema sanitario las siguientes, EXCEPTO:;Cumplir las prescripciones generales de naturaleza sanitaria comunes a toda la población.;Colaborar en el mantenimiento de la habitabilidad de las Instituciones Sanitarias.;Responsabilizarse del uso adecuado de las prestaciones ofrecidas por el sistema sanitario, fundamentalmente en lo que se refiere a la utilización de servicios.;Libre elección de médico y centro sanitario.;d
¿En qué artículo de la Constitución Española se reconoce el derecho a la protección de la salud?;Artículo 14;Artículo 43;Artículo 49;Artículo 51;b
La Ley 14/1986, General de Sanidad, fue aprobada el:;14 de abril de 1986;25 de abril de 1986;15 de junio de 1986;25 de junio de 1986;b
Según la Ley General de Sanidad, la población de un Área de Salud debe estar comprendida entre:;100.000 y 150.000 habitantes;150.000 y 200.000 habitantes;200.000 y 250.000 habitantes;250.000 y 300.000 habitantes;c
¿Cuál de los siguientes NO es un principio rector del sistema de salud según el artículo 3 de la Ley General de Sanidad?;Universalidad;Gratuidad total;Equidad;Integralidad;b
El órgano de coordinación del Sistema Nacional de Salud es:;El Ministerio de Sanidad;La Comisión de Salud Pública;El Consejo Interterritorial del SNS;El Instituto de Salud Carlos III;c
La Ley 2/1998, de Salud de Andalucía, es de fecha:;15 de abril de 1998;15 de junio de 1998;25 de abril de 1998;25 de junio de 1998;b
Según la Ley de Salud de Andalucía, el derecho a la segunda opinión facultativa se recoge en:;El artículo 6;El artículo 8;El artículo 10;El artículo 11;a
El Plan Andaluz de Salud tiene una vigencia:;Anual;Bienal;Cuatrienal;Indefinida hasta su modificación;c
¿Quién aprueba el Plan Andaluz de Salud?;El Parlamento de Andalucía;El Consejo de Gobierno de la Junta de Andalucía;El Consejero de Salud;El Director Gerente del SAS;b
El Contrato Programa es un instrumento de:;Planificación legislativa;Gestión y planificación estratégica;Control disciplinario;Formación continuada;b
¿Cuál es el órgano que gestiona la sanidad en Ceuta y Melilla?;El SAS;El INSALUD;El INGESA;El Ministerio de Sanidad directamente;c
El proceso de transferencias sanitarias a las Comunidades Autónomas culminó en el año:;1986;1998;2002;2010;c
Según la Ley 2/1998, los deberes de los ciudadanos respecto al SSPA se recogen en el artículo:;Artículo 6;Artículo 8;Artículo 10;Artículo 11;d
La primera Comunidad Autónoma en recibir transferencias sanitarias fue:;Andalucía;País Vasco;Cataluña;Galicia;c
El Decreto que regula la estructura y funcionamiento de los servicios de Atención Primaria en el SAS es:;Decreto 105/1986;Decreto 197/2007;Decreto 198/2024;Decreto 462/1996;b
¿Cuál de los siguientes NO es un principio rector de la Ley 2/1998 de Salud de Andalucía?;Universalización;Equidad;Centralización;Descentralización;c
Las competencias del Estado en materia sanitaria incluyen:;La gestión directa de todos los hospitales;Bases y coordinación general de la sanidad;La planificación territorial de los servicios;La gestión de la atención primaria;b
Los Acuerdos de Gestión Clínica son:;Contratos laborales del personal sanitario;El despliegue del Contrato Programa a nivel de UGC;Acuerdos entre CC.AA.;Convenios con centros concertados;b
El Centro de Salud es la estructura física básica de:;El Área de Salud;El Distrito Sanitario;La Zona Básica de Salud;El Área de Gestión Sanitaria;c
¿Cuál de los siguientes es un deber del ciudadano según la Ley 2/1998?;Obtener segunda opinión facultativa;Elegir libremente su médico de familia;Cumplir las prescripciones generales de naturaleza sanitaria;Participar en las actividades sanitarias;c
La Estrategia de Cuidados del SSPA es un instrumento que afecta especialmente a:;Los profesionales médicos;Los profesionales de enfermería;Solo los gestores sanitarios;Exclusivamente la atención hospitalaria;b
La Ley 16/2003, de Cohesión y Calidad del SNS, desarrolla aspectos relacionados con:;El régimen disciplinario del personal sanitario;Las prestaciones, los profesionales y el Consejo Interterritorial;Exclusivamente la formación especializada;Solo la investigación biomédica;b
¿Cada cuánto tiempo se evalúa típicamente el cumplimiento del Contrato Programa?;Mensualmente;Trimestralmente;Semestralmente;Anualmente;d
Los servicios de referencia nacionales son acreditados por:;Las Comunidades Autónomas;El Consejo Interterritorial del SNS;El Ministerio de Sanidad;La Agencia Europea del Medicamento;c
La Alta Inspección sanitaria es una competencia:;De las Comunidades Autónomas;Del Estado;De los Ayuntamientos;Compartida entre Estado y CC.AA.;b
¿Cuál es el número mínimo de Áreas de Salud que debe tener cada provincia según la LGS?;Ninguna, depende de la población;Una;Dos;Tres;b
El PAAIPEC es un plan relacionado con:;La atención a urgencias;La atención a pacientes crónicos;La formación del personal;La investigación biomédica;b
